,LocationDesc,Question,YearStart,Age (years),Education,Gender,Income,Race/Ethnicity,Total
0,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2011,34.333333333333336,34.775,34.75,34.74285714285714,32.56,34.7
1,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2012,34.35,34.625,34.900000000000006,34.94285714285714,37.733333333333334,34.8
2,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2013,35.1,35.975,35.849999999999994,35.885714285714286,31.975,35.7
3,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2014,32.916666666666664,33.425,33.5,33.3,33.1,33.4
4,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2015,32.333333333333336,32.7,33.099999999999994,33.08571428571428,32.96,33.0
5,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2016,33.35,33.55,33.85,33.614285714285714,33.82,33.9
6,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2017,33.38333333333333,33.425,33.95,33.58571428571428,34.78,33.9
7,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2018,32.78333333333333,33.425,33.5,32.699999999999996,36.08,33.4
8,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2019,33.449999999999996,33.95,34.25,33.628571428571426,32.14,34.2
9,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2020,33.333333333333336,33.724999999999994,33.8,32.58571428571428,33.58,33.7
10,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2021,31.21666666666667,32.25,32.0,30.985714285714288,32.925,31.9
11,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2022,33.5,34.0,33.8,32.17142857142857,33.78,33.7
12,Alabama,Percent of adults aged 18 years and older who have an overweight classification,2023,32.300000000000004,33.05,32.75,32.01428571428571,32.65,32.7
13,Alabama,Percent of adults aged 18 years and older who have obesity,2011,31.416666666666668,31.65,32.05,32.58571428571428,31.839999999999996,32.0
14,Alabama,Percent of adults aged 18 years and older who have obesity,2012,32.699999999999996,32.725,32.95,33.042857142857144,27.95,33.0
15,Alabama,Percent of adults aged 18 years and older who have obesity,2013,31.933333333333334,32.175,32.45,32.8,36.325,32.4
16,Alabama,Percent of adults aged 18 years and older who have obesity,2014,33.199999999999996,33.175,33.5,33.91428571428572,34.14,33.5
17,Alabama,Percent of adults aged 18 years and older who have obesity,2015,35.416666666666664,35.4,35.65,36.22857142857143,37.839999999999996,35.6
18,Alabama,Percent of adults aged 18 years and older who have obesity,2016,35.483333333333334,35.775,35.7,36.0,34.019999999999996,35.7
19,Alabama,Percent of adults aged 18 years and older who have obesity,2017,36.083333333333336,36.575,36.25,37.17142857142857,39.519999999999996,36.3
20,Alabama,Percent of adults aged 18 years and older who have obesity,2018,35.78333333333333,36.1,36.2,37.01428571428572,34.3,36.2
21,Alabama,Percent of adults aged 18 years and older who have obesity,2019,35.88333333333333,36.775,36.1,36.84285714285714,35.72,36.1
22,Alabama,Percent of adults aged 18 years and older who have obesity,2020,38.85,39.05,39.0,40.24285714285714,40.62,39.0
23,Alabama,Percent of adults aged 18 years and older who have obesity,2021,39.916666666666664,39.625,39.8,41.628571428571426,42.775,39.9
24,Alabama,Percent of adults aged 18 years and older who have obesity,2022,37.733333333333334,37.35,38.2,39.957142857142856,37.38,38.3
25,Alabama,Percent of adults aged 18 years and older who have obesity,2023,39.31666666666667,38.825,39.25,40.871428571428574,39.825,39.2
26,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,42.666666666666664,42.225,42.5,42.31428571428571,41.68,42.4
27,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2013,45.550000000000004,44.95,45.55,45.05714285714286,43.833333333333336,45.4
28,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2015,44.81666666666666,44.175,44.7,44.17142857142857,49.32,44.6
29,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2017,42.85,42.0,42.900000000000006,41.55714285714286,43.540000000000006,42.8
30,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2019,46.083333333333336,45.324999999999996,46.1,44.68571428571429,45.7,45.9
31,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2023,57.300000000000004,54.599999999999994,56.45,53.44285714285714,55.125,56.3
32,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,15.516666666666666,14.95,15.05,14.814285714285715,16.419999999999998,15.0
33,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2013,16.650000000000002,15.799999999999999,16.1,15.828571428571427,17.333333333333332,15.9
34,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2015,17.416666666666668,16.075,16.85,16.47142857142857,20.48,16.7
35,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2017,16.816666666666666,15.475,16.25,14.857142857142858,17.02,16.1
36,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2019,18.099999999999998,17.05,17.8,16.728571428571428,19.7,17.6
37,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2023,25.983333333333334,23.925,25.2,24.485714285714288,27.65,25.0
38,Alabama,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,23.96666666666667,23.825,24.0,24.12857142857143,24.66,23.9
39,Alabama,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2013,27.05,27.05,27.5,27.357142857142858,24.866666666666664,27.3
40,Alabama,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2015,25.96666666666667,26.1,26.200000000000003,25.785714285714285,28.32,26.1
41,Alabama,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2017,26.150000000000002,25.775,26.450000000000003,25.342857142857145,25.16,26.3
42,Alabama,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2019,27.266666666666666,27.35,27.799999999999997,27.014285714285712,29.26,27.7
43,Alabama,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2023,39.416666666666664,38.125,39.45,37.91428571428571,36.2,39.3
44,Alabama,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,25.5,24.825,24.950000000000003,24.728571428571428,26.22,24.7
45,Alabama,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2013,26.2,25.025000000000002,25.1,24.74285714285714,28.975,24.9
46,Alabama,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2015,27.03333333333333,25.0,25.95,25.400000000000002,30.1,25.7
47,Alabama,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2017,27.21666666666667,25.0,26.25,24.728571428571428,29.060000000000002,26.0
48,Alabama,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2019,30.049999999999997,28.625,29.5,28.428571428571427,32.12,29.2
49,Alabama,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2023,35.38333333333333,33.625,34.7,34.94285714285714,36.400000000000006,34.4
50,Alabama,Percent of adults who engage in no leisure-time physical activity,2011,32.083333333333336,32.75,32.45,32.300000000000004,34.1,32.6
51,Alabama,Percent of adults who engage in no leisure-time physical activity,2012,26.71666666666667,27.85,27.049999999999997,27.185714285714287,26.166666666666668,27.2
52,Alabama,Percent of adults who engage in no leisure-time physical activity,2013,30.833333333333332,31.675,31.25,31.599999999999998,32.42,31.5
53,Alabama,Percent of adults who engage in no leisure-time physical activity,2014,27.03333333333333,27.975,27.5,28.0,25.14,27.6
54,Alabama,Percent of adults who engage in no leisure-time physical activity,2015,31.133333333333336,32.7,31.8,32.971428571428575,30.139999999999997,31.9
55,Alabama,Percent of adults who engage in no leisure-time physical activity,2016,28.566666666666666,30.625,29.299999999999997,30.157142857142855,28.119999999999997,29.4
56,Alabama,Percent of adults who engage in no leisure-time physical activity,2017,31.016666666666666,32.95,31.799999999999997,33.142857142857146,32.96,32.0
57,Alabama,Percent of adults who engage in no leisure-time physical activity,2018,29.883333333333336,32.0,30.5,31.828571428571426,28.96,30.7
58,Alabama,Percent of adults who engage in no leisure-time physical activity,2019,30.683333333333334,32.2,31.299999999999997,33.042857142857144,29.220000000000006,31.5
59,Alabama,Percent of adults who engage in no leisure-time physical activity,2020,27.850000000000005,30.325,28.65,30.599999999999998,28.32,28.8
60,Alabama,Percent of adults who engage in no leisure-time physical activity,2021,30.166666666666668,33.0,31.3,33.34285714285714,28.549999999999997,31.5
61,Alabama,Percent of adults who engage in no leisure-time physical activity,2022,27.666666666666668,31.55,28.8,31.02857142857143,30.939999999999998,29.1
62,Alabama,Percent of adults who engage in no leisure-time physical activity,2023,27.650000000000002,31.225,28.95,32.142857142857146,31.5,29.1
63,Alabama,Percent of adults who report consuming fruit less than one time daily,2017,45.0,45.625,45.05,45.271428571428565,42.06,44.9
64,Alabama,Percent of adults who report consuming fruit less than one time daily,2019,46.28333333333333,46.075,46.2,46.41428571428571,41.72,46.1
65,Alabama,Percent of adults who report consuming fruit less than one time daily,2021,46.23333333333333,45.45,45.95,46.771428571428565,43.825,45.9
66,Alabama,Percent of adults who report consuming vegetables less than one time daily,2017,19.3,19.6,19.4,19.714285714285715,18.58,19.3
67,Alabama,Percent of adults who report consuming vegetables less than one time daily,2019,22.366666666666664,23.525,22.35,23.485714285714288,23.54,22.3
68,Alabama,Percent of adults who report consuming vegetables less than one time daily,2021,20.683333333333334,21.4,20.65,22.457142857142856,24.65,20.6
69,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2011,38.78333333333333,38.325,38.3,37.67142857142857,36.96,38.9
70,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2012,39.266666666666666,38.2,38.599999999999994,38.57142857142857,37.628571428571426,39.1
71,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2013,37.36666666666667,37.925,37.3,36.25714285714286,34.01666666666667,37.7
72,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2014,35.28333333333333,35.474999999999994,34.75,34.1,34.449999999999996,35.1
